"","Year","Jan_Percentage_Change","Feb_Percentage_Change","Mar_Percentage_Change","Apr_Percentage_Change","May_Percentage_Change","Jun_Percentage_Change","Jul_Percentage_Change","Aug_Percentage_Change","Sep_Percentage_Change","Oct_Percentage_Change","Nov_Percentage_Change","Dec_Percentage_Change","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Ave","Jan_Egg_Inflation_Dif","Feb_Egg_Inflation_Dif","Mar_Egg_Inflation_Dif","Apr_Egg_Inflation_Dif","May_Egg_Inflation_Dif","Jun_Egg_Inflation_Dif","Jul_Egg_Inflation_Dif","Aug_Egg_Inflation_Dif","Sep_Egg_Inflation_Dif","Oct_Egg_Inflation_Dif","Nov_Egg_Inflation_Dif","Dec_Egg_Inflation_Dif"
"1",2000,5.97826086956521,-1.33333333333333,-3.22245322245321,0.859291084854985,-9.26517571884984,-1.64319248826291,3.5799522673031,2.88018433179724,3.02351623740202,0.326086956521743,-2.27518959913326,6.31929046563193,2.7,3.2,3.8,3.1,3.2,3.7,3.7,3.4,3.5,3.4,3.4,3.4,3.4,3.27826086956521,-4.53333333333333,-7.02245322245321,-2.24070891514502,-12.4651757188498,-5.34319248826291,-0.120047732696901,-0.519815668202758,-0.476483762597976,-3.07391304347826,-5.67518959913327,2.91929046563193
"2",2001,5.422314911366,-6.72601384767556,-6.04453870625662,16.0270880361174,-14.2996108949416,4.42678774120318,-6.30434782608696,7.77262180974478,-1.39935414424112,0,2.07423580786026,-1.06951871657754,3.7,3.5,2.9,3.3,3.6,3.2,2.7,2.7,2.6,2.1,1.9,1.6,2.8,1.722314911366,-10.2260138476756,-8.94453870625662,12.7270880361174,-17.8996108949416,1.22678774120318,-9.00434782608696,5.07262180974478,-3.99935414424112,-2.1,0.174235807860259,-2.66951871657754
"3",2002,5.18918918918918,2.36382322713258,0.702811244979906,4.38683948155534,-4.77554918815664,-2.20661985957874,1.53846153846153,6.36363636363635,0.189933523266861,-1.51658767772512,3.94610202117422,8.88888888888888,1.1,1.1,1.5,1.6,1.2,1.1,1.5,1.8,1.5,2,2.2,2.4,1.6,4.08918918918918,1.26382322713258,-0.797188755020094,2.78683948155534,-5.97554918815664,-3.30661985957874,0.038461538461533,4.56363636363635,-1.31006647673314,-3.51658767772512,1.74610202117422,6.48888888888888
"4",2003,-0.0850340136054339,1.19148936170212,1.6820857863751,-6.45161290322581,-10.7869142351901,18.8305252725471,-4.08673894912428,11.0434782608696,-1.56617071260767,5.80747812251394,8.87218045112781,7.6657458563536,2.6,3,3,2.2,2.1,2.1,2.1,2.2,2.3,2,1.8,1.9,2.3,-2.68503401360543,-1.80851063829788,-1.3179142136249,-8.65161290322581,-12.8869142351901,16.7305252725471,-6.18673894912428,8.84347826086958,-3.86617071260767,3.80747812251394,7.07218045112781,5.7657458563536
"5",2004,0.898011545862731,0.635727908455186,2.65319014529375,-3.87692307692308,-12.1638924455826,-4.44606413994171,-4.42410373760489,1.91540303272146,-10.3367267032106,-4.89082969432315,-0.367309458218545,10.5069124423963,1.9,1.7,1.7,2.3,3.1,3.3,3,2.7,2.5,3.2,3.5,3.3,2.7,-1.00198845413727,-1.06427209154481,0.953190145293749,-6.17692307692308,-15.2638924455826,-7.74606413994171,-7.42410373760489,-0.784596967278537,-12.8367267032106,-8.09082969432315,-3.86730945821855,7.20691244239632
"6",2005,1.00083402835696,6.02807597027251,-11.8380062305296,2.82685512367491,1.80412371134022,-3.88185654008439,2.28270412642668,0.0858369098712286,9.69125214408233,-1.17279124315871,1.18670886075949,5.5512118842846,3,3,3.1,3.5,2.8,2.5,3.2,3.6,4.7,4.3,3.5,3.4,3.4,-1.99916597164304,3.02807597027251,-14.9380062305296,-0.67314487632509,-0.995876288659778,-6.38185654008439,-0.917295873573318,-3.51416309012877,4.99125214408233,-5.47279124315871,-2.31329113924051,2.1512118842846
"7",2006,7.33333333333333,-8.35058661145618,-1.95783132530121,-1.45929339477727,-6.00155884645362,2.98507462686568,-2.33494363929145,2.55564715581202,0.803858520900325,0.23923444976075,7.71678599840893,13.9586410635155,4,3.6,3.4,3.5,4.2,4.3,4.1,3.8,2.1,1.3,2,2.5,3.2,3.33333333333333,-11.9505866114562,-5.35783132530121,-4.95929339477727,-10.2015588464536,-1.31492537313432,-6.43494363929145,-1.24435284418798,-1.29614147909968,-1.06076555023925,5.71678599840893,11.4586410635155
"8",2007,0.388852883992219,12.7178825048418,-6.41466208476519,-1.10159118727049,-6.93069306930694,-8.71010638297872,9.39548434085944,8.78828229027961,11.6891064871481,-2.95890410958904,5.13833992094863,12.7282491944146,2.1,2.4,2.8,2.6,2.7,2.7,2.4,2,2.8,3.5,4.3,4.1,2.8,-1.71114711600778,10.3178825048418,-9.21466208476519,-3.70159118727049,-9.63069306930694,-11.4101063829787,6.99548434085944,6.78828229027961,8.88910648714812,-6.45890410958904,0.838339920948632,8.62824919441462
"9",2008,3.62077179609337,-0.321839080459752,1.61439114391142,-6.08261461643214,-6.71822136297728,-0.518134715025909,4.73958333333335,-7.8070611636002,6.68824163969794,-6.06673407482304,-1.07642626480087,-0.21762785636561,4.3,4,4,3.9,4.2,5,5.6,5.4,4.9,3.7,1.1,0.1,3.8,-0.67922820390663,-4.32183908045975,-2.38560885608858,-9.98261461643214,-10.9182213629773,-5.51813471502591,-0.860416666666647,-13.2070611636002,1.78824163969794,-9.76673407482305,-2.17642626480087,-0.31762785636561
"10",2009,0.872410032715387,-2.97297297297299,-5.68245125348189,4.78440637920849,-15.3889515219842,1.86542305129913,-2.22367560497055,9.16387959866218,-0.306372549019607,-1.96681007990166,6.89655172413794,3.92961876832845,0,0.2,-0.4,-0.7,-1.3,-1.4,-2.1,-1.5,-1.3,-0.2,1.8,2.7,-0.4,0.872410032715387,-3.17297297297299,-5.28245125348189,5.48440637920849,-14.0889515219842,3.26542305129913,-0.123675604970554,10.6638795986622,0.993627450980393,-1.76681007990166,5.09655172413794,1.22961876832845
"11",2010,0.959367945823919,4.63946338736725,-2.67094017094017,-2.36004390779364,-14.3901068015739,-1.90413657255416,-3.5475234270415,5.41290770298404,15.4048716260698,-16.9423844837422,15.0412087912088,7.04477611940297,2.6,2.1,2.3,2.2,2,1.1,1.2,1.1,1.1,1.2,1.1,1.5,1.6,-1.64063205417608,2.53946338736725,-4.97094017094017,-4.56004390779364,-16.3901068015739,-3.00413657255416,-4.7475234270415,4.31290770298404,14.3048716260698,-18.1423844837422,13.9412087912088,5.54477611940297
"12",2011,0.725041829336304,-5.4263565891473,1.40515222482436,-0.288683602771356,-2.02663578459757,-0.531914893617014,-2.13903743315508,3.88585306618094,13.7931034482759,-3.90344119157678,-1.87065740245858,2.06971677559913,1.6,2.1,2.7,3.2,3.6,3.6,3.6,3.8,3.9,3.5,3.4,3,3.2,-0.874958170663696,-7.5263565891473,-1.29484777517564,-3.48868360277136,-5.62663578459757,-4.13191489361701,-5.73903743315508,0.0858530661809445,9.89310344827587,-7.40344119157678,-5.27065740245857,-0.930283224400871
"13",2012,3.46851654215581,-7.27178958225889,-1.33481646273638,3.10033821871476,-7.54510661563695,-1.24186871673567,-1.31736526946108,14.3203883495146,0.265392781316365,3.75860243515087,0.153061224489792,2.24146714212941,2.9,2.9,2.7,2.3,1.7,1.7,1.4,1.7,2,2.2,1.8,1.7,2.1,0.568516542155808,-10.1717895822589,-4.03481646273638,0.80033821871476,-9.24510661563695,-2.94186871673567,-2.71736526946108,12.6203883495146,-1.73460721868364,1.55860243515087,-1.64693877551021,0.541467142129405
"14",2013,-3.6870951669158,1.65545783755821,-2.03562340966922,-0.363636363636366,-2.50260688216891,-0.588235294117656,-1.3986013986014,0.272776868521563,3.21001088139281,1.4760147601476,0,5.24675324675323,1.6,2,1.5,1.1,1.4,1.8,2,1.5,1.2,1,1.2,1.5,1.5,-5.2870951669158,-0.344542162441795,-3.53562340966922,-1.46363636363637,-3.90260688216891,-2.38823529411766,-3.3986013986014,-1.22722313147844,2.01001088139281,0.476014760147604,-1.2,3.74675324675323
"15",2014,-0.888450148075015,-0.49800796812749,3.15315315315314,2.81416787967008,-5.80462482302974,-2.40480961923848,0.102669404517464,1.48717948717949,-0.454775138959074,-0.964467005076142,4.15171706817017,8.75984251968505,1.6,1.1,1.5,2,2.1,2.1,2,1.7,1.7,1.7,1.3,0.8,1.6,-2.48845014807502,-1.59800796812749,1.65315315315314,0.814167879670082,-7.90462482302974,-4.50480961923848,-1.89733059548254,-0.212820512820509,-2.15477513895907,-2.66446700507614,2.85171706817017,7.95984251968505
"16",2015,-4.38914027149321,-1.1831519167061,2.1551724137931,-3.18799812470699,-4.98789346246973,30.9887869520897,0,14.5136186770428,0.781515460414539,-5.32703978422119,-5.12820512820512,3.26576576576576,-0.1,0,-0.1,-0.2,0,0.1,0.2,0.2,0,0.2,0.5,0.7,0.1,-4.28914027149321,-1.1831519167061,2.25517241379311,-2.98799812470699,-4.98789346246973,30.8887869520897,-0.2,14.3136186770428,0.781515460414539,-5.52703978422119,-5.62820512820512,2.56576576576576
"17",2016,-15.3762268266085,-2.62027491408935,-8.20467578297309,-13.8395002402691,-6.07919687674289,-11.4608076009501,3.68879946344736,-5.88615782664942,1.09965635738831,-5.50645819170633,-4.96402877697841,4.69341408024224,1.4,1,0.9,1.1,1,1,0.8,1.1,1.5,1.6,1.7,2.1,1.3,-16.7762268266085,-3.62027491408935,-9.10467578297309,-14.9395002402691,-7.07919687674289,-12.4608076009501,2.88879946344736,-6.98615782664942,-0.400343642611688,-7.10645819170633,-6.66402877697841,2.59341408024224
