Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,1.810,1.826,1.872,1.955,1.746,1.807,1.821,1.916,1.850,1.834,1.934,2.117
2015,1.934,1.902,2.019,1.869,1.838,2.476,2.473,3.020,2.997,2.642,2.396,2.569
2016,2.216,2.188,1.917,1.484,1.407,1.335,1.379,1.279,1.333,1.176,1.189,1.241
2017,1.519,1.290,1.239,1.276,1.216,1.047,1.061,1.093,1.182,1.296,1.249,1.575
2018,1.584,1.626,1.586,1.881,1.760,1.471,1.560,1.491,1.434,1.477,1.439,1.386
2019,1.406,1.375,1.430,1.343,1.272,1.070,1.092,1.091,1.172,1.152,1.253,1.264
2020,1.219,1.254,1.385,1.683,1.412,1.351,1.256,1.156,1.226,1.285,1.324,1.355
2021,1.402,1.452,1.520,1.471,1.518,1.578,1.611,1.638,1.827,1.747,1.658,1.801
2022,1.792,1.891,1.858,2.425,2.874,2.612,2.745,2.811,2.808,3.145,3.387,4.111
2023,4.441,3.745,3.159,2.858,2.356,2.076,1.990,1.934,1.976,2.072,2.059,2.392
2024,2.342,2.908,2.757,2.589,2.456,2.618,,,,,,
