Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,2.110,2.144,2.256,2.253,2.216,2.136,2.094,2.023,2.049,2.030,2.076,2.242
2015,2.274,2.262,2.218,2.223,2.080,2.678,2.736,2.930,3.017,3.052,2.898,2.924
2016,2.365,2.295,2.193,2.029,1.857,1.550,1.590,1.479,1.518,1.443,1.288,1.382
2017,1.565,1.436,1.402,1.364,1.316,1.314,1.337,1.354,1.457,1.559,1.520,1.827
2018,1.723,1.681,1.774,2.097,2.027,1.522,1.628,1.536,1.517,1.516,1.551,1.594
2019,1.513,1.546,1.467,1.379,1.256,1.144,1.185,1.100,1.357,1.201,1.343,1.508
2020,1.427,1.393,1.442,2.138,1.523,1.430,1.294,1.163,1.199,1.218,1.394,1.367
2021,1.331,1.548,1.505,1.530,1.486,1.524,1.496,1.562,1.653,1.634,1.453,1.459
2022,1.835,1.849,1.905,2.267,2.600,2.524,2.736,3.034,2.653,3.122,3.272,3.951
2023,4.775,4.157,3.196,3.078,2.312,1.935,1.804,1.732,1.785,1.754,1.809,2.251
2024,2.280,2.712,2.810,2.642,2.479,2.352,,,,,,
